"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","row","column"
"238","LCOR-166",31.23333333,33.46666667,43.33333333,44.03333333,27.2,29.7,24.3,33.3238095228571,5,20
"240","LCOR-059",24.86666667,26.56666667,42.6,38.63333333,26.4,18.9,29,29.5666666671429,7,20
"241","LCOR-101",33.46666667,27.53333333,41,43.9,25.3,18.7,27.8,31.1,8,20
"242","LCOR-067",30.76666667,30.66666667,40.96666667,45.2,26.6,19.4,27.7,31.6142857157143,9,20
"243","LCOR-103",31.63333333,30.8,38.16666667,40.93333333,28.2,17.1,18.2,29.29047619,11,20
"244","LCOR-230",30.26666667,33.5,45.73333333,42.56666667,29.6,22.5,20.2,32.0523809528571,12,20
"245","LCOR-534",37.66666667,29.13333333,39.2,48.56666667,28.1,16.9,26.1,32.2380952385714,13,20
"246","LCOR-261",37.83333333,33.73333333,41.96666667,44.76666667,27.2,26,22.7,33.4571428571429,14,20
"247","LCOR-493",33.4,29.2,41.83333333,44.73333333,30.6,31,19,32.8238095228571,15,20
"249","LCOR-098",30.7,26.8,44.76666667,44.66666667,31.5,16.2,28.9,31.9333333342857,2,21
"250","LCOR-482",27.96666667,34.8,44.96666667,44.4,30.7,19.5,25.4,32.5333333342857,3,21
"251","LCOR-350",29.96666667,33.4,43.5,44.7,27.2,28.7,21.5,32.70952381,4,21
"252","LCOR-129",30.36666667,31.46666667,43.73333333,44.43333333,24.3,18.3,17.4,30,5,21
"253","LCOR-012",32.1,33.8,47.23333333,45.56666667,23.7,16.2,23.8,31.7714285714286,6,21
"254","LCOR-248",34.16666667,28.83333333,40.4,44.86666667,24.6,25.5,28.3,32.3809523814286,7,21
"255","LCOR-476",32.33333333,38.2,43.23333333,38,27.2,22.5,28.9,32.9095238085714,8,21
"256","LCOR-584",28.96666667,32.76666667,42.06666667,44.46666667,29.3,20,22.9,31.4952380971429,9,21
"257","LCOR-518",32.6,28.1,42.36666667,44.33333333,28.4,26.4,22.8,32.1428571428571,10,21
"258","LCOR-450",31.93333333,36.2,44.96666667,45.93333333,27.1,27,28.5,34.5190476185714,11,21
"259","LCOR-017",30.36666667,29.46666667,39.83333333,45.26666667,22.5,20.6,20.6,29.8047619057143,12,21
"260","LCOR-495",32.26666667,28.33333333,40.3,43.36666667,19.3,23.5,23.6,30.0952380957143,13,21
"261","LCOR-144",29.26666667,27.26666667,38.9,48.86666667,21.3,19.2,25,29.9714285728571,14,21
"262","LCOR-204",32.13333333,31.2,38.9,42.46666667,30.5,25.4,22.6,31.8857142857143,15,21
"264","LCOR-616",28.9,32,42.4,44.5,28.2,19.5,30.2,32.2428571428571,2,22
"265","LCOR-245",31.73333333,27.73333333,42.43333333,46.2,26.0488584474886,26.0488584474886,26.9751708428246,32.4532696754003,3,22
"266","LCOR-165",26.33333333,30.63333333,45.13333333,47.2,25.6,28.8,17.1,31.5428571414286,4,22
"267","LCOR-209",26.23333333,35,43,45.76666667,27.3,22.1,17.8,31.0285714285714,5,22
"268","LCOR-340",22.5,26.93333333,35.26666667,44.13333333,28.1,22.7,23.2,28.9761904757143,6,22
"270","LCOR-149",25.1,35.6,38.03333333,46.56666667,24.7,31,25.3,32.3285714285714,8,22
"271","LCOR-169",32.93333333,27.26666667,38.3,47.6,29.7,20.4,26.7,31.8428571428571,10,22
"272","LCOR-063",28.36666667,29.76666667,37.23333333,43.7,28.2,22.1,29.3,31.2380952385714,11,22
