Name,,,,,,
Date,,,,,,
dbh in mm @ 6in,,,,,,
height in feet (incremented in tenths),,,,,,
,,,,,,
row,column,ID,DBH,Height,Comments,Updated Growth 5/9
7,49,LCOR-056,9.73,5.09,,
8,49,LCOR-578,16.21,9.21,,
9,49,LCOR-586,16.74,8.48,,
10,49,LCOR-531,19.58,10.02,,
11,49,LCOR-477,11.1,6.21,,
12,49,LCOR-460,17.73,8.58,,
13,49,LCOR-615,15.39,7.08,,
14,49,LCOR-602,25.22,11.55,,
15,49,LCOR-456,16.06,8.21,,
16,49,LCOR-1174,,,,
1,50,LCOR-1126,,,,
2,50,LCOR-500,17.02,7.41,,
3,50,LCOR-119,14.93,7.22,,
4,50,LCOR-375,15.63,7.35,,
5,50,LCOR-208,18.19,8.79,,
6,50,LCOR-457,19.19,8.51,,
7,50,LCOR-440,16.3,7.92,,
8,50,LCOR-501,17.78,8.81,,
9,50,LCOR-118,17.46,8.58,,
10,50,LCOR-262,16.06,7.39,,
11,50,LCOR-172,21.49,10.41,,
12,50,LCOR-081,16.34,6.91,,
13,50,LCOR-210,19.17,8.72,,
14,50,LCOR-417,16.48,7.35,,
15,50,LCOR-390,18.85,8.07,,
16,50,LCOR-1196,,,,
1,51,LCOR-1019,,,,
2,51,LCOR-1256,,,,
3,51,LCOR-1167,,,,
4,51,LCOR-219,15.32,7.47,,
5,51,LCOR-532,25.83,11.67,,
6,51,LCOR-431,18.23,8.31,,
7,51,LCOR-479,26.37,11.85,,
8,51,LCOR-1030,,,,
9,51,LCOR-108,21.54,9.41,,
10,51,LCOR-312,18.44,7.91,,
11,51,LCOR-225,19.32,7.82,,
12,51,LCOR-329,20.19,9.19,,
13,51,LCOR-478,12.92,6.64,,
14,51,LCOR-567,17.3,9.16,,
15,51,LCOR-413,15.51,8.03,,
16,51,LCOR-1205,,,,
1,52,LCOR-1041,,,,
2,52,LCOR-1218,,,,
3,52,LCOR-389,16.15,7.51,,
4,52,LCOR-246,17.94,8.39,,
5,52,LCOR-1050,,,,
6,52,LCOR-430,19.52,9.37,,
7,52,LCOR-465,16.94,8.49,,
8,52,LCOR-1117,,,,
9,52,LCOR-183,11.32,7.59,,
10,52,LCOR-1096,,,,
11,52,LCOR-317,11.32,5.31,,
12,52,LCOR-215,20.3,9.34,,
13,52,LCOR-187,22.66,10.61,,
14,52,LCOR-1220,,,,
15,52,LCOR-576,16.35,8.08,,
16,52,LCOR-1243,,,,
1,53,LCOR-1065,,,,
2,53,LCOR-1230,,,,
3,53,LCOR-288,22.59,9.67,,
4,53,LCOR-407,14.58,6.98,,
5,53,LCOR-580,15.17,7.62,,
6,53,LCOR-566,17.22,8.37,,
7,53,LCOR-097,14.81,7.85,,
8,53,LCOR-1194,,,,
9,53,LCOR-592,15.21,6.72,,
10,53,LCOR-451,18.05,8.51,,
11,53,LCOR-597,15.13,7.51,,
12,53,LCOR-1031,,6.32,,
13,53,LCOR-050,19.96,6.03,,
14,53,LCOR-444,14.4,7.17,,
15,53,LCOR-1032,,,,
16,53,LCOR-1208,,,,
1,54,LCOR-1074,,,,
2,54,LCOR-590,8.92,4.18,,
3,54,LCOR-038,15.79,7.43,,
4,54,LCOR-1038,,,,
5,54,LCOR-205,11.79,5.48,,
6,54,LCOR-1138,,,,
7,54,LCOR-1252,,,,
8,54,LCOR-1182,,,,
9,54,LCOR-1107,,,,
10,54,LCOR-1123,,,,
11,54,LCOR-1133,,,,
12,54,LCOR-1179,,,,
13,54,LCOR-1190,,,,
14,54,LCOR-1013,,,,
15,54,LCOR-1251,,,,
16,54,LCOR-1045,,,,
1,55,LCOR-1084,,,,
2,55,LCOR-1176,,,,
3,55,LCOR-1055,,,,
4,55,LCOR-1067,,,,
5,55,LCOR-1146,,,,
6,55,LCOR-1036,,,,
7,55,LCOR-1157,,,,
8,55,LCOR-1184,,,,
9,55,LCOR-1232,,,,
10,55,LCOR-1258,,,,
11,55,LCOR-1012,,,,
12,55,LCOR-1109,,,,
13,55,LCOR-1000,,,,
14,55,LCOR-1125,,,,
15,55,LCOR-1130,,,,
16,55,LCOR-1195,,,,
